Close,High,Low
0.8813,0.894,0.8791
0.8832,0.8843,0.878
0.8814,0.8853,0.8805
0.8846,0.8865,0.881
0.8796,0.885,0.8766
0.8828,0.8842,0.878
0.8782,0.8835,0.8754
0.878,0.879,0.876
0.8784,0.8812,0.8735
0.8804,0.883,0.8775
0.8822,0.884,0.8772
0.8877,0.8885,0.882
0.8888,0.8919,0.8855
0.896,0.8982,0.8845
0.8919,0.8965,0.889
0.8901,0.8923,0.8885
0.8869,0.894,0.8846
0.8951,0.8953,0.886
0.8897,0.895,0.8885
0.8897,0.8915,0.8844
0.8916,0.8925,0.8884
0.8982,0.8993,0.892
0.8935,0.8992,0.8918
0.9041,0.9054,0.892
0.9026,0.908,0.9015
0.9028,0.904,0.8995
0.9001,0.9035,0.8955
0.9,0.9013,0.8965
0.887,0.9013,0.8855
0.8767,0.8905,0.8741
0.879,0.88,0.877
0.8786,0.8815,0.8765
0.8829,0.8871,0.8778
0.8839,0.8844,0.8792
0.8904,0.8921,0.8825
0.8904,0.8904,0.8904
0.9039,0.9065,0.888
0.8999,0.906,0.8975
0.8953,0.9,0.894
0.8933,0.8995,0.8884
0.8925,0.8935,0.888
0.8907,0.8951,0.8867
0.8917,0.8939,0.89
0.8922,0.893,0.8896
0.8943,0.8955,0.892
0.8844,0.8945,0.883
0.8827,0.8845,0.8805
0.8815,0.885,0.879
0.8847,0.8849,0.8795
0.8835,0.8865,0.883
0.8858,0.8861,0.8811
0.8776,0.889,0.876
0.8767,0.8794,0.8753
0.8648,0.8785,0.8632
0.8613,0.866,0.8574
0.8647,0.8656,0.8595
0.8616,0.8675,0.8601
0.8588,0.864,0.8578
0.8619,0.8644,0.8565
0.8701,0.8709,0.8605
0.8674,0.8731,0.8651
0.8687,0.8707,0.8634
0.871,0.8717,0.8645
0.8724,0.8753,0.87
0.8766,0.8802,0.8605
0.8763,0.88,0.874
0.8713,0.877,0.8709
0.8737,0.8744,0.8682
0.8727,0.8741,0.8697
0.871,0.874,0.87
0.8759,0.8784,0.8665
0.8703,0.8785,0.869
0.8687,0.872,0.8681
0.8757,0.8775,0.8683
0.8689,0.8745,0.8689
0.8638,0.872,0.8616
0.8656,0.8667,0.8625
0.8688,0.8698,0.8635
0.8651,0.8695,0.8632
0.8693,0.8715,0.863
0.8717,0.872,0.8651
0.8761,0.8774,0.8699
0.8835,0.8839,0.8755
0.8735,0.8825,0.8721
0.8753,0.877,0.8735
0.8763,0.8762,0.8705
0.8765,0.8784,0.8725
0.8824,0.8845,0.8755
0.8825,0.8871,0.8809
0.8821,0.883,0.8784
0.8828,0.8841,0.8797
0.8843,0.886,0.8785
0.8818,0.886,0.8806
0.8767,0.883,0.8748
0.8772,0.878,0.8753
0.8768,0.8796,0.8733
0.8727,0.877,0.872
0.8709,0.874,0.87
0.8716,0.8728,0.8703
0.8807,0.8822,0.8715
0.8789,0.8816,0.8775
0.8809,0.8831,0.8775
0.8777,0.8857,0.8767
0.8796,0.8815,0.8774
0.8741,0.8795,0.8735
0.8805,0.8811,0.8737
0.8804,0.8827,0.8789
0.883,0.8847,0.879
0.8792,0.8828,0.8774
0.8803,0.882,0.879
0.8819,0.884,0.8791
0.8894,0.8896,0.882
0.8912,0.892,0.8857
0.8917,0.8923,0.8879
0.8897,0.8906,0.8868
0.8886,0.8901,0.8861
0.8922,0.893,0.8873
0.898,0.8991,0.8918
0.9015,0.9018,0.8963
0.9034,0.9043,0.9008
0.9008,0.9041,0.899
0.9057,0.9083,0.8996
0.9027,0.9078,0.9011
0.9168,0.9174,0.9025
0.9166,0.9183,0.9136
0.9151,0.919,0.9115
0.9053,0.9151,0.9037
0.9089,0.9112,0.904
0.9138,0.9148,0.9086
0.9119,0.9165,0.9097
0.9023,0.9124,0.9011
0.9114,0.9118,0.8996
0.9117,0.9141,0.9086
0.9214,0.9219,0.911
0.9223,0.9228,0.9178
0.9201,0.922,0.9162
0.9262,0.9277,0.9183
0.9215,0.9267,0.918
0.9211,0.9231,0.9168
0.921,0.922,0.9185
0.9291,0.9306,0.92
0.9365,0.9369,0.9273
0.9387,0.9412,0.9348
0.9323,0.9403,0.9282
0.9377,0.9396,0.9305
0.9413,0.9453,0.9394
0.9394,0.9415,0.9352
0.9456,0.9471,0.934
0.9441,0.9488,0.9428
0.9435,0.9484,0.9395
0.9473,0.9474,0.94
0.9447,0.9505,0.9432
0.942,0.9473,0.9395
0.9455,0.9527,0.9417
0.9442,0.9467,0.9411
0.9515,0.952,0.9434
0.9565,0.9579,0.9517
0.9637,0.9663,0.956
0.9701,0.9718,0.9632
0.9706,0.9817,0.9681
0.9773,0.9778,0.966
0.986,0.9945,0.9792
